Frequência (Hz)	Nível (dB)
43,066406	-5,368700
86,132812	-3,000072
129,199219	-2,400301
172,265625	-6,503860
215,332031	-6,679996
258,398438	-4,882525
301,464844	-4,317475
344,531250	-5,437635
387,597656	-5,681138
430,664062	-3,122462
473,730469	-5,051233
516,796875	-8,203074
559,863281	-8,475537
602,929688	-11,348425
645,996094	-12,061070
689,062500	-12,600157
732,128906	-10,110474
775,195312	-6,075441
818,261719	-8,230014
861,328125	-13,879408
904,394531	-16,615768
947,460938	-19,007757
990,527344	-20,088566
1033,593750	-21,908884
1076,660156	-21,811546
1119,726562	-22,918259
1162,792969	-24,745024
1205,859375	-23,570114
1248,925781	-24,426149
1291,992188	-23,985668
1335,058594	-23,982443
1378,125000	-23,230619
1421,191406	-21,705408
1464,257812	-22,955885
1507,324219	-23,764172
1550,390625	-24,487226
1593,457031	-25,997339
1636,523438	-26,956974
1679,589844	-27,795485
1722,656250	-27,729851
1765,722656	-28,368210
1808,789062	-28,537277
1851,855469	-28,663715
1894,921875	-28,036013
1937,988281	-27,659636
1981,054688	-28,409927
2024,121094	-29,298729
2067,187500	-29,374168
2110,253906	-30,039156
2153,320312	-30,241520
2196,386719	-30,486092
2239,453125	-29,481916
2282,519531	-27,979166
2325,585938	-26,856684
2368,652344	-24,552635
2411,718750	-27,191389
2454,785156	-30,752151
2497,851562	-32,058342
2540,917969	-32,867016
2583,984375	-34,351707
2627,050781	-34,004158
2670,117188	-34,004929
2713,183594	-34,625729
2756,250000	-34,643372
2799,316406	-36,153946
2842,382812	-35,616451
2885,449219	-35,805157
2928,515625	-35,143108
2971,582031	-35,826897
3014,648438	-35,860775
3057,714844	-35,930630
3100,781250	-36,615486
3143,847656	-37,351353
3186,914062	-38,220966
3229,980469	-38,558823
3273,046875	-38,048580
3316,113281	-37,967175
3359,179688	-38,196934
3402,246094	-36,942814
3445,312500	-37,233814
3488,378906	-38,435570
3531,445312	-38,551609
3574,511719	-37,249588
3617,578125	-37,501740
3660,644531	-36,918137
3703,710938	-38,921307
3746,777344	-40,077171
3789,843750	-38,997726
3832,910156	-37,598423
3875,976562	-36,893394
3919,042969	-35,927895
3962,109375	-36,544922
4005,175781	-38,505596
4048,242188	-39,388882
4091,308594	-40,604748
4134,375000	-39,748760
4177,441406	-38,849030
4220,507812	-39,686665
4263,574219	-42,333282
4306,640625	-43,578335
4349,707031	-43,311317
4392,773438	-42,304817
4435,839844	-42,410042
4478,906250	-42,547802
4521,972656	-41,606194
4565,039062	-43,386204
4608,105469	-43,307133
4651,171875	-42,697468
4694,238281	-42,918972
4737,304688	-43,904430
4780,371094	-42,982571
4823,437500	-43,877045
4866,503906	-44,377567
4909,570312	-44,504700
4952,636719	-44,993935
4995,703125	-45,339294
5038,769531	-44,904175
5081,835938	-45,375404
5124,902344	-45,438488
5167,968750	-45,568890
5211,035156	-45,803791
5254,101562	-46,285515
5297,167969	-45,727112
5340,234375	-44,605961
5383,300781	-44,295513
5426,367188	-44,246998
5469,433594	-42,764423
5512,500000	-43,091240
5555,566406	-42,310356
5598,632812	-42,980034
5641,699219	-43,871861
5684,765625	-43,386524
5727,832031	-44,030346
5770,898438	-44,214397
5813,964844	-44,836208
5857,031250	-43,885254
5900,097656	-43,643250
5943,164062	-44,863228
5986,230469	-44,757301
6029,296875	-45,174332
6072,363281	-46,005756
6115,429688	-46,016216
6158,496094	-45,738564
6201,562500	-44,449467
6244,628906	-45,610809
6287,695312	-45,250393
6330,761719	-44,220020
6373,828125	-44,462666
6416,894531	-43,722916
6459,960938	-44,938793
6503,027344	-45,690018
6546,093750	-45,548836
6589,160156	-45,013241
6632,226562	-45,875500
6675,292969	-45,210606
6718,359375	-46,510220
6761,425781	-45,970470
6804,492188	-45,299858
6847,558594	-44,877022
6890,625000	-44,742344
6933,691406	-45,099415
6976,757812	-44,810970
7019,824219	-45,245312
7062,890625	-44,535797
7105,957031	-44,565117
7149,023438	-44,423340
7192,089844	-45,228062
7235,156250	-44,865326
7278,222656	-44,161209
7321,289062	-45,238701
7364,355469	-45,275066
7407,421875	-46,311913
7450,488281	-46,878727
7493,554688	-46,924660
7536,621094	-46,117783
7579,687500	-46,458286
7622,753906	-47,822968
7665,820312	-48,518021
7708,886719	-48,242470
7751,953125	-48,551075
7795,019531	-49,374550
7838,085938	-49,743904
7881,152344	-49,422844
7924,218750	-49,721802
7967,285156	-50,338375
8010,351562	-50,904686
8053,417969	-50,669991
8096,484375	-49,852890
8139,550781	-48,611809
8182,617188	-47,807804
8225,683594	-47,910717
8268,750000	-48,401394
8311,816406	-49,144276
8354,882812	-49,641212
8397,949219	-50,069145
8441,015625	-50,569450
8484,082031	-51,275696
8527,148438	-51,081947
8570,214844	-51,048080
8613,281250	-51,064533
8656,347656	-51,829605
8699,414062	-52,339859
8742,480469	-52,701691
8785,546875	-52,708275
8828,613281	-52,525017
8871,679688	-51,934269
8914,746094	-52,296806
8957,812500	-52,223011
9000,878906	-53,067310
9043,945312	-53,423859
9087,011719	-53,147404
9130,078125	-52,760731
9173,144531	-52,690422
9216,210938	-51,628399
9259,277344	-53,201427
9302,343750	-53,336643
9345,410156	-52,971733
9388,476562	-53,272289
9431,542969	-52,591080
9474,609375	-52,490215
9517,675781	-52,534874
9560,742188	-53,925091
9603,808594	-53,529846
9646,875000	-54,352127
9689,941406	-55,002583
9733,007812	-54,928654
9776,074219	-55,052944
9819,140625	-55,520164
9862,207031	-55,184113
9905,273438	-55,620567
9948,339844	-56,039135
9991,406250	-55,627476
10034,472656	-55,691692
10077,539062	-55,408966
10120,605469	-56,113171
10163,671875	-56,675205
10206,738281	-56,260548
10249,804688	-55,542816
10292,871094	-55,688679
10335,937500	-55,226788
10379,003906	-55,511971
10422,070312	-55,688217
10465,136719	-56,631477
10508,203125	-57,057751
10551,269531	-56,714203
10594,335938	-55,779243
10637,402344	-56,591030
10680,468750	-56,363335
10723,535156	-56,358181
10766,601562	-55,788036
10809,667969	-56,934563
10852,734375	-56,636059
10895,800781	-57,276779
10938,867188	-56,336178
10981,933594	-57,066494
11025,000000	-56,421833
11068,066406	-55,971672
11111,132812	-56,831699
11154,199219	-57,158058
11197,265625	-56,786770
11240,332031	-56,475426
11283,398438	-56,971722
11326,464844	-57,545273
11369,531250	-57,877533
11412,597656	-57,493233
11455,664062	-57,602718
11498,730469	-58,300556
11541,796875	-57,734978
11584,863281	-57,529217
11627,929688	-57,212559
11670,996094	-56,926064
11714,062500	-57,500488
11757,128906	-57,962662
11800,195312	-56,989147
11843,261719	-57,506622
11886,328125	-57,468723
11929,394531	-57,550446
11972,460938	-57,684551
12015,527344	-57,202049
12058,593750	-58,648056
12101,660156	-58,470085
12144,726562	-58,231434
12187,792969	-57,796173
12230,859375	-57,611649
12273,925781	-57,975037
12316,992188	-57,854446
12360,058594	-57,969509
12403,125000	-57,411911
12446,191406	-57,592148
12489,257812	-58,934967
12532,324219	-58,709476
12575,390625	-58,410995
12618,457031	-58,398273
12661,523438	-57,871048
12704,589844	-57,946049
12747,656250	-56,253708
12790,722656	-48,672489
12833,789062	-52,363846
12876,855469	-58,072491
12919,921875	-58,359612
12962,988281	-59,702362
13006,054688	-59,271683
13049,121094	-59,244648
13092,187500	-59,051910
13135,253906	-59,380707
13178,320312	-58,758377
13221,386719	-58,971527
13264,453125	-59,641838
13307,519531	-58,735767
13350,585938	-58,710075
13393,652344	-59,488384
13436,718750	-59,425014
13479,785156	-60,344788
