Frequência (Hz)	Nível (dB)
43,066406	-26,463837
86,132812	-30,870983
129,199219	-23,654446
172,265625	-24,113247
215,332031	-29,246981
258,398438	-32,600407
301,464844	-34,112514
344,531250	-42,093052
387,597656	-44,913460
430,664062	-41,015617
473,730469	-36,542797
516,796875	-32,136036
559,863281	-26,577360
602,929688	-26,318567
645,996094	-27,458725
689,062500	-28,198618
732,128906	-33,140255
775,195312	-33,957214
818,261719	-31,321669
861,328125	-32,694546
904,394531	-29,444176
947,460938	-25,492016
990,527344	-25,837332
1033,593750	-26,012775
1076,660156	-25,867975
1119,726562	-27,611286
1162,792969	-32,853554
1205,859375	-32,098469
1248,925781	-30,678596
1291,992188	-33,760246
1335,058594	-39,410240
1378,125000	-41,039696
1421,191406	-42,153843
1464,257812	-42,018646
1507,324219	-40,887283
1550,390625	-43,616833
1593,457031	-43,465172
1636,523438	-42,410027
1679,589844	-43,237026
1722,656250	-42,617950
1765,722656	-41,609356
1808,789062	-42,427979
1851,855469	-43,915829
1894,921875	-44,268230
1937,988281	-45,061447
1981,054688	-46,978832
2024,121094	-48,988449
2067,187500	-50,000637
2110,253906	-53,006893
2153,320312	-54,495934
2196,386719	-54,413647
2239,453125	-56,209354
2282,519531	-57,648605
2325,585938	-57,186474
2368,652344	-59,899879
2411,718750	-59,559143
2454,785156	-57,864376
2497,851562	-57,884804
2540,917969	-58,880592
2583,984375	-60,670727
2627,050781	-61,245728
2670,117188	-60,885574
2713,183594	-60,616158
2756,250000	-60,498806
2799,316406	-58,479507
2842,382812	-57,941616
2885,449219	-56,554150
2928,515625	-54,673027
2971,582031	-53,174095
3014,648438	-52,661270
3057,714844	-51,858273
3100,781250	-50,267895
3143,847656	-49,998611
3186,914062	-49,032188
3229,980469	-49,912891
3273,046875	-49,119339
3316,113281	-49,634502
3359,179688	-48,836670
3402,246094	-49,177826
3445,312500	-48,734070
3488,378906	-48,950531
3531,445312	-48,326843
3574,511719	-47,789043
3617,578125	-47,892101
3660,644531	-46,958942
3703,710938	-47,085823
3746,777344	-47,322781
3789,843750	-48,765575
3832,910156	-49,123959
3875,976562	-48,087601
3919,042969	-48,026337
3962,109375	-50,032509
4005,175781	-51,126415
4048,242188	-51,244991
4091,308594	-51,384060
4134,375000	-52,158840
4177,441406	-51,881989
4220,507812	-51,015568
4263,574219	-51,586155
4306,640625	-51,526245
4349,707031	-51,289841
4392,773438	-51,919968
4435,839844	-52,491066
4478,906250	-53,006721
4521,972656	-53,028259
4565,039062	-52,501656
4608,105469	-52,209618
4651,171875	-52,604664
4694,238281	-50,994701
4737,304688	-50,553234
4780,371094	-50,179771
4823,437500	-49,480404
4866,503906	-49,584614
4909,570312	-48,996544
4952,636719	-49,472095
4995,703125	-48,055168
5038,769531	-47,665329
5081,835938	-47,820229
5124,902344	-47,379333
5167,968750	-44,625813
5211,035156	-46,299965
5254,101562	-46,711979
5297,167969	-47,329433
5340,234375	-46,656906
5383,300781	-46,310295
5426,367188	-46,548439
5469,433594	-44,903553
5512,500000	-45,475834
5555,566406	-44,683235
5598,632812	-43,488743
5641,699219	-44,523899
5684,765625	-44,169106
5727,832031	-42,985535
5770,898438	-42,018242
5813,964844	-41,679138
5857,031250	-41,772980
5900,097656	-42,003250
5943,164062	-41,663406
5986,230469	-40,599388
6029,296875	-40,719528
6072,363281	-40,791523
6115,429688	-40,834583
6158,496094	-39,498135
6201,562500	-38,548840
6244,628906	-38,659702
6287,695312	-39,034092
6330,761719	-38,212143
